country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,VN,LA,,70.7,2.7,109.9,RE_PV_Openfield_Lim_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,VN,LA,,70.7,8.4,164.8,RE_WIND_Onshore_Lim_0_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,VN,LA,,70.7,0.1,6.0,HYDRO_[KR]
KR,VN,LA,,70.7,4.8,69.4,PP_CO2_[KR]
KR,VN,LA,,70.7,0.9,48.3,BESS_[KR]
KR,VN,LA,,70.7,0.3,23.4,EL_to_HTH_[KR]
KR,VN,LA,,70.7,0.0,0.0,EL_to_NH3_[KR]
KR,VN,LA,,70.7,0.0,0.1,NH3_Storage_[KR]
KR,VN,LA,,70.7,0.0,0.0,NH3_to_EL_[KR]
KR,VN,LA,,70.7,0.0,0.0,NH3_to_HTH_[KR]
KR,VN,LA,,70.7,1.9,23.5,FF_to_HTH_[KR]
KR,VN,LA,,70.7,0.0,93.8,EL_Demand_[KR]
KR,VN,LA,,70.7,0.0,23.8,HTH_Demand_[KR]
KR,VN,LA,,70.7,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
