country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,LA,,,1.9244639423648626e-08,3.147931405730276,RE_PV_Openfield_Lim_[KR]
KR,LA,,,1.9244639423648626e-08,1.3323704967513257,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,1.9244639423648626e-08,8.425035063612988,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,1.9244639423648626e-08,4.1933938808445023e-10,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,1.9244639423648626e-08,1.913716459779955e-10,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,1.9244639423648626e-08,1.5900925809741376e-11,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,1.9244639423648626e-08,7.478718271050827e-10,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,1.9244639423648626e-08,2.242934272752555e-09,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,1.9244639423648626e-08,2.3249291345197105e-11,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,1.9244639423648626e-08,1.0858069114769868e-08,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,1.9244639423648626e-08,11.386872126727875,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,1.9244639423648626e-08,5.177972262806378e-09,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,1.9244639423648626e-08,2.5574924491033803e-10,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,1.9244639423648626e-08,0.13146416316509413,HYDRO_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,PP_CO2_[KR]
KR,LA,,,1.9244639423648626e-08,6.272720032266638,BESS_[KR]
KR,LA,,,1.9244639423648626e-08,0.2630011416976074,EL_to_HTH_[KR]
KR,LA,,,1.9244639423648626e-08,2.3629305464319996,EL_to_NH3_[KR]
KR,LA,,,1.9244639423648626e-08,6.284974286912136,NH3_Storage_[KR]
KR,LA,,,1.9244639423648626e-08,0.5597357317637851,NH3_to_EL_[KR]
KR,LA,,,1.9244639423648626e-08,0.07046137618430162,NH3_to_HTH_[KR]
KR,LA,,,1.9244639423648626e-08,1.0490065745475082e-09,FF_to_HTH_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,EL_Demand_[KR]
KR,LA,,,1.9244639423648626e-08,0.0,HTH_Demand_[KR]
KR,LA,,,1.9244639423648626e-08,4.777052609722156e-10,RE_PV_Openfield_Lim_[LA]
KR,LA,,,1.9244639423648626e-08,3.2648053843576555e-10,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,1.9244639423648626e-08,9.471143527207569e-10,RE_WIND_Onshore_Lim_0_[LA]
KR,LA,,,1.9244639423648626e-08,4.4159140994100537e-10,RE_WIND_Onshore_Lim_1_[LA]
KR,LA,,,1.9244639423648626e-08,2.210228027979132e-10,RE_WIND_Onshore_Lim_2_[LA]
KR,LA,,,1.9244639423648626e-08,1.2839619253645704e-10,RE_WIND_Onshore_Lim_3_[LA]
KR,LA,,,1.9244639423648626e-08,3.731721774041551e-11,RE_WIND_Onshore_Lim_4_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_5_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_6_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_7_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_8_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Onshore_Lim_9_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,RE_WIND_Offshore_Lim_0_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_1_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_2_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_3_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_4_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_5_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_6_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_7_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_8_[LA]
KR,LA,,,1.9244639423648626e-08,6.01978631274396e-11,RE_WIND_Offshore_Lim_9_[LA]
KR,LA,,,1.9244639423648626e-08,0.08115737584716201,HYDRO_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,PP_CO2_[LA]
KR,LA,,,1.9244639423648626e-08,1.488750081996547e-06,BESS_[LA]
KR,LA,,,1.9244639423648626e-08,0.0033119647340482975,EL_to_HTH_[LA]
KR,LA,,,1.9244639423648626e-08,2.3450766069349688e-06,EL_to_NH3_[LA]
KR,LA,,,1.9244639423648626e-08,7.550896568825351e-06,NH3_Storage_[LA]
KR,LA,,,1.9244639423648626e-08,3.806022246661928e-08,NH3_to_EL_[LA]
KR,LA,,,1.9244639423648626e-08,2.3833391921631402e-06,NH3_to_HTH_[LA]
KR,LA,,,1.9244639423648626e-08,9.68021963491032e-10,FF_to_HTH_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,EL_Demand_[LA]
KR,LA,,,1.9244639423648626e-08,0.0,HTH_Demand_[LA]
KR,LA,,,98.64812961148083,2.400084762972568,RE_PV_Openfield_Lim_[KR]
KR,LA,,,98.64812961148083,0.0,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,98.64812961148083,6.7158591942913715,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,98.64812961148083,0.13146416322863255,HYDRO_[KR]
KR,LA,,,98.64812961148083,7.935580429991461,PP_CO2_[KR]
KR,LA,,,98.64812961148083,0.3176131290777269,BESS_[KR]
KR,LA,,,98.64812961148083,0.2588857612123871,EL_to_HTH_[KR]
KR,LA,,,98.64812961148083,1.157011965141601e-07,EL_to_NH3_[KR]
KR,LA,,,98.64812961148083,7.78764622660988e-08,NH3_Storage_[KR]
KR,LA,,,98.64812961148083,1.2284253043985955e-07,NH3_to_EL_[KR]
KR,LA,,,98.64812961148083,9.272106627353607e-09,NH3_to_HTH_[KR]
KR,LA,,,98.64812961148083,2.542204763245927,FF_to_HTH_[KR]
KR,LA,,,98.64812961148083,0.0,EL_Demand_[KR]
KR,LA,,,98.64812961148083,0.0,HTH_Demand_[KR]
KR,LA,,,98.64812961148083,0.0,RE_PV_Openfield_Lim_[LA]
KR,LA,,,98.64812961148083,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_0_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_1_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_2_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_3_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_4_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_5_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_6_[LA]
KR,LA,,,98.64812961148083,0.0,RE_WIND_Onshore_Lim_7_[LA]
