country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,PH,,,2.2377819777385082e-10,3.1479314055746968,RE_PV_Openfield_Lim_[KR]
KR,PH,,,2.2377819777385082e-10,1.3323704965494203,RE_PV_Rooftop_Lim_[KR]
KR,PH,,,2.2377819777385082e-10,8.425035060410002,RE_WIND_Onshore_Lim_0_[KR]
KR,PH,,,2.2377819777385082e-10,7.052078744504448e-10,RE_WIND_Onshore_Lim_1_[KR]
KR,PH,,,2.2377819777385082e-10,4.948128186173254e-10,RE_WIND_Onshore_Lim_2_[KR]
KR,PH,,,2.2377819777385082e-10,3.328719876685514e-10,RE_WIND_Onshore_Lim_3_[KR]
KR,PH,,,2.2377819777385082e-10,2.723967473032018e-10,RE_WIND_Onshore_Lim_4_[KR]
KR,PH,,,2.2377819777385082e-10,2.386420402677027e-10,RE_WIND_Onshore_Lim_5_[KR]
KR,PH,,,2.2377819777385082e-10,2.0928910364628853e-10,RE_WIND_Onshore_Lim_6_[KR]
KR,PH,,,2.2377819777385082e-10,1.936295459689953e-10,RE_WIND_Onshore_Lim_7_[KR]
KR,PH,,,2.2377819777385082e-10,1.693553473701133e-10,RE_WIND_Onshore_Lim_8_[KR]
KR,PH,,,2.2377819777385082e-10,1.4653113575181345e-10,RE_WIND_Onshore_Lim_9_[KR]
KR,PH,,,2.2377819777385082e-10,1.615107336587841e-09,RE_WIND_Offshore_Lim_0_[KR]
KR,PH,,,2.2377819777385082e-10,3.092544933412448e-09,RE_WIND_Offshore_Lim_1_[KR]
KR,PH,,,2.2377819777385082e-10,1.091541713487977e-09,RE_WIND_Offshore_Lim_2_[KR]
KR,PH,,,2.2377819777385082e-10,1.1051522174512334e-08,RE_WIND_Offshore_Lim_3_[KR]
KR,PH,,,2.2377819777385082e-10,1.1265510917616409e-09,RE_WIND_Offshore_Lim_4_[KR]
KR,PH,,,2.2377819777385082e-10,11.386872022870595,RE_WIND_Offshore_Lim_5_[KR]
KR,PH,,,2.2377819777385082e-10,5.860929479275962e-09,RE_WIND_Offshore_Lim_6_[KR]
KR,PH,,,2.2377819777385082e-10,8.276137818026311e-10,RE_WIND_Offshore_Lim_7_[KR]
KR,PH,,,2.2377819777385082e-10,1.423199778043383e-09,RE_WIND_Offshore_Lim_8_[KR]
KR,PH,,,2.2377819777385082e-10,9.89851795424738e-10,RE_WIND_Offshore_Lim_9_[KR]
KR,PH,,,2.2377819777385082e-10,0.13146416317001458,HYDRO_[KR]
KR,PH,,,2.2377819777385082e-10,0.0,PP_CO2_[KR]
KR,PH,,,2.2377819777385082e-10,6.272719999182493,BESS_[KR]
KR,PH,,,2.2377819777385082e-10,0.26300113762131844,EL_to_HTH_[KR]
KR,PH,,,2.2377819777385082e-10,2.3629305391817508,EL_to_NH3_[KR]
KR,PH,,,2.2377819777385082e-10,6.284974409668157,NH3_Storage_[KR]
KR,PH,,,2.2377819777385082e-10,0.5597357365835249,NH3_to_EL_[KR]
KR,PH,,,2.2377819777385082e-10,0.07046137104111638,NH3_to_HTH_[KR]
KR,PH,,,2.2377819777385082e-10,1.160820660756386e-11,FF_to_HTH_[KR]
KR,PH,,,2.2377819777385082e-10,0.0,EL_Demand_[KR]
