country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,PH,,,1.0629055784696771e-10,3.147931405417649,RE_PV_Openfield_Lim_[KR]
KR,PH,,,1.0629055784696771e-10,0.007129187068429393,RE_PV_Rooftop_Lim_[KR]
KR,PH,,,1.0629055784696771e-10,8.425035062025938,RE_WIND_Onshore_Lim_0_[KR]
KR,PH,,,1.0629055784696771e-10,2.898708185432766e-10,RE_WIND_Onshore_Lim_1_[KR]
KR,PH,,,1.0629055784696771e-10,2.1076630352789313e-10,RE_WIND_Onshore_Lim_2_[KR]
KR,PH,,,1.0629055784696771e-10,1.4895696050181672e-10,RE_WIND_Onshore_Lim_3_[KR]
KR,PH,,,1.0629055784696771e-10,1.1411278542398464e-10,RE_WIND_Onshore_Lim_4_[KR]
KR,PH,,,1.0629055784696771e-10,1.0244564237598701e-10,RE_WIND_Onshore_Lim_5_[KR]
KR,PH,,,1.0629055784696771e-10,8.960008182131382e-11,RE_WIND_Onshore_Lim_6_[KR]
KR,PH,,,1.0629055784696771e-10,8.363280221765023e-11,RE_WIND_Onshore_Lim_7_[KR]
KR,PH,,,1.0629055784696771e-10,7.40424483015769e-11,RE_WIND_Onshore_Lim_8_[KR]
KR,PH,,,1.0629055784696771e-10,6.458396942514175e-11,RE_WIND_Onshore_Lim_9_[KR]
KR,PH,,,1.0629055784696771e-10,1.5006087555517836e-10,RE_WIND_Offshore_Lim_0_[KR]
KR,PH,,,1.0629055784696771e-10,1.6225392400703465e-10,RE_WIND_Offshore_Lim_1_[KR]
KR,PH,,,1.0629055784696771e-10,1.3072291050531587e-10,RE_WIND_Offshore_Lim_2_[KR]
KR,PH,,,1.0629055784696771e-10,1.7464720804702085e-10,RE_WIND_Offshore_Lim_3_[KR]
KR,PH,,,1.0629055784696771e-10,1.3102168324683312e-10,RE_WIND_Offshore_Lim_4_[KR]
KR,PH,,,1.0629055784696771e-10,1.7152325822331767e-10,RE_WIND_Offshore_Lim_5_[KR]
KR,PH,,,1.0629055784696771e-10,1.6835948893304483e-10,RE_WIND_Offshore_Lim_6_[KR]
KR,PH,,,1.0629055784696771e-10,1.1784050695072575e-10,RE_WIND_Offshore_Lim_7_[KR]
KR,PH,,,1.0629055784696771e-10,1.4288087218535082e-10,RE_WIND_Offshore_Lim_8_[KR]
KR,PH,,,1.0629055784696771e-10,1.2194148750056582e-10,RE_WIND_Offshore_Lim_9_[KR]
KR,PH,,,1.0629055784696771e-10,0.13146416313067558,HYDRO_[KR]
KR,PH,,,1.0629055784696771e-10,0.0,PP_CO2_[KR]
KR,PH,,,1.0629055784696771e-10,3.3954160958897814,BESS_[KR]
KR,PH,,,1.0629055784696771e-10,0.26368698667170065,EL_to_HTH_[KR]
KR,PH,,,1.0629055784696771e-10,1.5251422591187604,EL_to_NH3_[KR]
KR,PH,,,1.0629055784696771e-10,2.7837978727113524,NH3_Storage_[KR]
KR,PH,,,1.0629055784696771e-10,0.5139142326449868,NH3_to_EL_[KR]
KR,PH,,,1.0629055784696771e-10,0.06468483424229261,NH3_to_HTH_[KR]
KR,PH,,,1.0629055784696771e-10,5.513549990324383e-12,FF_to_HTH_[KR]
KR,PH,,,1.0629055784696771e-10,0.0,EL_Demand_[KR]
KR,PH,,,1.0629055784696771e-10,0.0,HTH_Demand_[KR]
KR,PH,,,1.0629055784696771e-10,0.7979548014897363,RE_PV_Openfield_Lim_[PH]
KR,PH,,,1.0629055784696771e-10,3.1768969315010403e-10,RE_PV_Rooftop_Lim_[PH]
KR,PH,,,1.0629055784696771e-10,5.803170824393425,RE_WIND_Onshore_Lim_0_[PH]
KR,PH,,,1.0629055784696771e-10,3.6867702722516144e-10,RE_WIND_Onshore_Lim_1_[PH]
KR,PH,,,1.0629055784696771e-10,3.1503913691289767e-10,RE_WIND_Onshore_Lim_2_[PH]
KR,PH,,,1.0629055784696771e-10,3.11975825883055e-10,RE_WIND_Onshore_Lim_3_[PH]
KR,PH,,,1.0629055784696771e-10,2.590437700751516e-10,RE_WIND_Onshore_Lim_4_[PH]
KR,PH,,,1.0629055784696771e-10,2.2886435353790337e-10,RE_WIND_Onshore_Lim_5_[PH]
KR,PH,,,1.0629055784696771e-10,1.9944722579034542e-10,RE_WIND_Onshore_Lim_6_[PH]
KR,PH,,,1.0629055784696771e-10,1.6825604794850288e-10,RE_WIND_Onshore_Lim_7_[PH]
KR,PH,,,1.0629055784696771e-10,1.4195496766587728e-10,RE_WIND_Onshore_Lim_8_[PH]
KR,PH,,,1.0629055784696771e-10,1.1506721972494316e-10,RE_WIND_Onshore_Lim_9_[PH]
KR,PH,,,1.0629055784696771e-10,1.0939315388334777e-10,RE_WIND_Offshore_Lim_0_[PH]
KR,PH,,,1.0629055784696771e-10,9.630390588763802e-11,RE_WIND_Offshore_Lim_1_[PH]
KR,PH,,,1.0629055784696771e-10,9.311791949035457e-11,RE_WIND_Offshore_Lim_2_[PH]
KR,PH,,,1.0629055784696771e-10,9.251475519554228e-11,RE_WIND_Offshore_Lim_3_[PH]
