country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,PH,,,1.0629055784696771e-10,3.147931405417649,RE_PV_Openfield_Lim_[KR]
KR,PH,,,1.0629055784696771e-10,0.007129187068429393,RE_PV_Rooftop_Lim_[KR]
KR,PH,,,1.0629055784696771e-10,0.13146416313067558,HYDRO_[KR]
KR,PH,,,1.0629055784696771e-10,0.0,PP_CO2_[KR]
KR,PH,,,1.0629055784696771e-10,3.3954160958897814,BESS_[KR]
KR,PH,,,1.0629055784696771e-10,0.26368698667170065,EL_to_HTH_[KR]
KR,PH,,,1.0629055784696771e-10,1.5251422591187604,EL_to_NH3_[KR]
KR,PH,,,1.0629055784696771e-10,2.7837978727113524,NH3_Storage_[KR]
KR,PH,,,1.0629055784696771e-10,0.5139142326449868,NH3_to_EL_[KR]
KR,PH,,,1.0629055784696771e-10,0.06468483424229261,NH3_to_HTH_[KR]
KR,PH,,,1.0629055784696771e-10,5.513549990324383e-12,FF_to_HTH_[KR]
KR,PH,,,1.0629055784696771e-10,0.0,EL_Demand_[KR]
KR,PH,,,1.0629055784696771e-10,0.0,HTH_Demand_[KR]
KR,PH,,,1.0629055784696771e-10,0.7979548014897363,RE_PV_Openfield_Lim_[PH]
KR,PH,,,1.0629055784696771e-10,3.1768969315010403e-10,RE_PV_Rooftop_Lim_[PH]
KR,PH,,,1.0629055784696771e-10,0.05861826858666587,HYDRO_[PH]
KR,PH,,,1.0629055784696771e-10,0.0,PP_CO2_[PH]
KR,PH,,,1.0629055784696771e-10,4.784731136218382e-06,BESS_[PH]
KR,PH,,,1.0629055784696771e-10,0.12644344138492267,EL_to_HTH_[PH]
KR,PH,,,1.0629055784696771e-10,1.0559414284357171,EL_to_NH3_[PH]
KR,PH,,,1.0629055784696771e-10,2.649115942924089,NH3_Storage_[PH]
KR,PH,,,1.0629055784696771e-10,0.6420932148788112,NH3_to_EL_[PH]
KR,PH,,,1.0629055784696771e-10,0.025252519052720315,NH3_to_HTH_[PH]
KR,PH,,,1.0629055784696771e-10,5.512765980063481e-12,FF_to_HTH_[PH]
KR,PH,,,1.0629055784696771e-10,0.0,EL_Demand_[PH]
KR,PH,,,1.0629055784696771e-10,0.0,HTH_Demand_[PH]
KR,PH,,,1.0629055784696771e-10,4.1295821274485744,EL_Transport_[KR-PH]
KR,PH,,,1.0629055784696771e-10,0.02955180600695492,NH3_Transport_[KR-PH]
KR,PH,,,1.0629055784696771e-10,8.42503506320395,RE_WIND_Onshore_Lim_[KR]
KR,PH,,,1.0629055784696771e-10,5.803170826501752,RE_WIND_Onshore_Lim_[PH]
KR,PH,,,1.0629055784696771e-10,1.4712522151543878e-09,RE_WIND_Offshore_Lim_[KR]
KR,PH,,,1.0629055784696771e-10,8.809218503442845e-10,RE_WIND_Offshore_Lim_[PH]
KR,PH,,,111.55399561308974,2.158994837526775,RE_PV_Openfield_Lim_[KR]
KR,PH,,,111.55399561308974,1.0256822304939207e-10,RE_PV_Rooftop_Lim_[KR]
KR,PH,,,111.55399561308974,0.1314641632291835,HYDRO_[KR]
KR,PH,,,111.55399561308974,6.209195935464932,PP_CO2_[KR]
KR,PH,,,111.55399561308974,0.16782295405827874,BESS_[KR]
KR,PH,,,111.55399561308974,0.258543422869939,EL_to_HTH_[KR]
KR,PH,,,111.55399561308974,9.072290758795112e-08,EL_to_NH3_[KR]
KR,PH,,,111.55399561308974,1.261708593405394e-07,NH3_Storage_[KR]
KR,PH,,,111.55399561308974,1.4990153511452613e-07,NH3_to_EL_[KR]
KR,PH,,,111.55399561308974,2.4469864523186827e-08,NH3_to_HTH_[KR]
KR,PH,,,111.55399561308974,2.5797708828086012,FF_to_HTH_[KR]
KR,PH,,,111.55399561308974,0.0,EL_Demand_[KR]
KR,PH,,,111.55399561308974,0.0,HTH_Demand_[KR]
KR,PH,,,111.55399561308974,1.839993512100867e-10,RE_PV_Openfield_Lim_[PH]
KR,PH,,,111.55399561308974,6.922935550960628e-11,RE_PV_Rooftop_Lim_[PH]
KR,PH,,,111.55399561308974,0.08507785557734908,HYDRO_[PH]
KR,PH,,,111.55399561308974,1.722535223478046,PP_CO2_[PH]
KR,PH,,,111.55399561308974,9.395086381788385e-07,BESS_[PH]
KR,PH,,,111.55399561308974,0.12643960384610284,EL_to_HTH_[PH]
KR,PH,,,111.55399561308974,6.175233628634208e-07,EL_to_NH3_[PH]
KR,PH,,,111.55399561308974,2.8877489786414995e-06,NH3_Storage_[PH]
KR,PH,,,111.55399561308974,6.170600122573924e-08,NH3_to_EL_[PH]
KR,PH,,,111.55399561308974,1.4861991052770815e-06,NH3_to_HTH_[PH]
KR,PH,,,111.55399561308974,0.7166760809474814,FF_to_HTH_[PH]
KR,PH,,,111.55399561308974,0.0,EL_Demand_[PH]
KR,PH,,,111.55399561308974,0.0,HTH_Demand_[PH]
KR,PH,,,111.55399561308974,1.1509324942280579,EL_Transport_[KR-PH]
KR,PH,,,111.55399561308974,1.6398165558272144e-09,NH3_Transport_[KR-PH]
