country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,LA,,,6.3,0.1,RE_PV_Openfield_Lim_[LA]
SG,LA,,,6.3,0.0,RE_PV_Rooftop_Lim_[LA]
SG,LA,,,6.3,0.5,RE_WIND_Onshore_Lim_0_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_1_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_2_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_3_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_4_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_5_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_6_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_7_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_8_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Onshore_Lim_9_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_0_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_1_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_2_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_3_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_4_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_5_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_6_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_7_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_8_[LA]
SG,LA,,,6.3,0.0,RE_WIND_Offshore_Lim_9_[LA]
SG,LA,,,6.3,0.2,HYDRO_[LA]
SG,LA,,,6.3,0.1,PP_CO2_[LA]
SG,LA,,,6.3,0.0,BESS_[LA]
SG,LA,,,6.3,0.0,EL_to_HTH_[LA]
SG,LA,,,6.3,0.0,EL_to_NH3_[LA]
SG,LA,,,6.3,0.0,NH3_Storage_[LA]
SG,LA,,,6.3,0.0,NH3_to_EL_[LA]
SG,LA,,,6.3,0.0,NH3_to_HTH_[LA]
SG,LA,,,6.3,0.0,FF_to_HTH_[LA]
SG,LA,,,6.3,0.0,EL_Demand_[LA]
SG,LA,,,6.3,0.0,HTH_Demand_[LA]
SG,LA,,,6.3,0.0,RE_PV_Openfield_Lim_[SG]
SG,LA,,,6.3,0.0,RE_PV_Rooftop_Lim_[SG]
