country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
TH,VN,LA,,5.900153781008514e-07,0.0,RE_PV_Openfield_Lim_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_PV_Rooftop_Lim_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_0_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_1_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_2_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_3_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_4_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_5_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_6_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_7_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_8_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Onshore_Lim_9_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_0_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_1_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_2_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_3_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_4_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_5_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_6_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_7_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_8_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,RE_WIND_Offshore_Lim_9_[LA]
TH,VN,LA,,5.900153781008514e-07,0.08115700817016945,HYDRO_[LA]
TH,VN,LA,,5.900153781008514e-07,0.0,PP_CO2_[LA]
TH,VN,LA,,5.900153781008514e-07,1.055300733900836e-06,BESS_[LA]
