country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
TH,VN,LA,,53.3,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
TH,VN,LA,,53.3,0.0,1.4,RE_PV_Openfield_Lim_[LA]
TH,VN,LA,,53.3,0.0,0.3,RE_WIND_Onshore_Lim_[LA]
TH,VN,LA,,53.3,0.1,2.3,PP_CO2_[LA]
TH,VN,LA,,53.3,0.0,0.9,BESS_[LA]
TH,VN,LA,,53.3,0.0,0.3,EL_to_HTH_[LA]
TH,VN,LA,,53.3,0.0,0.0,EL_to_NH3_[LA]
TH,VN,LA,,53.3,0.0,0.0,NH3_Storage_[LA]
TH,VN,LA,,53.3,0.0,0.0,NH3_to_EL_[LA]
TH,VN,LA,,53.3,0.0,0.0,NH3_to_HTH_[LA]
TH,VN,LA,,53.3,0.0,0.3,FF_to_HTH_[LA]
TH,VN,LA,,53.3,0.0,1.6,EL_Demand_[LA]
TH,VN,LA,,53.3,0.0,0.3,HTH_Demand_[LA]
TH,VN,LA,,53.3,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
TH,VN,LA,,53.3,1.6,92.4,RE_PV_Openfield_Lim_[TH]
TH,VN,LA,,53.3,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
TH,VN,LA,,53.3,8.4,173.6,RE_WIND_Onshore_Lim_[TH]
TH,VN,LA,,53.3,3.1,47.8,PP_CO2_[TH]
TH,VN,LA,,53.3,0.3,19.3,BESS_[TH]
TH,VN,LA,,53.3,0.4,33.4,EL_to_HTH_[TH]
TH,VN,LA,,53.3,0.1,1.6,EL_to_NH3_[TH]
TH,VN,LA,,53.3,0.1,6.9,NH3_Storage_[TH]
TH,VN,LA,,53.3,0.1,1.1,NH3_to_EL_[TH]
TH,VN,LA,,53.3,0.0,0.4,NH3_to_HTH_[TH]
TH,VN,LA,,53.3,1.9,33.1,FF_to_HTH_[TH]
TH,VN,LA,,53.3,0.0,65.4,EL_Demand_[TH]
TH,VN,LA,,53.3,0.0,34.3,HTH_Demand_[TH]
TH,VN,LA,,53.3,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
TH,VN,LA,,53.3,2.1,178.2,RE_PV_Openfield_Lim_[VN]
TH,VN,LA,,53.3,7.3,139.4,RE_WIND_Offshore_Lim_[VN]
TH,VN,LA,,53.3,0.0,0.0,RE_WIND_Onshore_Lim_[VN]
TH,VN,LA,,53.3,0.8,16.5,PP_CO2_[VN]
TH,VN,LA,,53.3,0.8,45.1,BESS_[VN]
TH,VN,LA,,53.3,0.5,45.6,EL_to_HTH_[VN]
TH,VN,LA,,53.3,0.1,1.4,EL_to_NH3_[VN]
TH,VN,LA,,53.3,0.1,7.4,NH3_Storage_[VN]
TH,VN,LA,,53.3,0.1,1.1,NH3_to_EL_[VN]
TH,VN,LA,,53.3,0.0,0.4,NH3_to_HTH_[VN]
TH,VN,LA,,53.3,2.0,45.8,FF_to_HTH_[VN]
TH,VN,LA,,53.3,0.0,51.6,EL_Demand_[VN]
TH,VN,LA,,53.3,0.0,46.8,HTH_Demand_[VN]
TH,VN,LA,,53.3,0.0,0.2,EL_Transport_[LA-TH]
TH,VN,LA,,53.3,0.0,0.0,NH3_Transport_[LA-TH]
TH,VN,LA,,53.3,0.1,1.2,EL_Transport_[LA-VN]
TH,VN,LA,,53.3,0.0,0.0,NH3_Transport_[LA-VN]
TH,VN,LA,,53.3,0.7,21.6,EL_Transport_[TH-VN]
TH,VN,LA,,53.3,0.0,7.6,NH3_Transport_[TH-VN]
TH,VN,LA,,75.7,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
TH,VN,LA,,75.7,0.0,0.8,RE_PV_Openfield_Lim_[LA]
TH,VN,LA,,75.7,0.0,0.1,RE_WIND_Onshore_Lim_[LA]
TH,VN,LA,,75.7,0.2,2.6,PP_CO2_[LA]
TH,VN,LA,,75.7,0.0,0.1,BESS_[LA]
TH,VN,LA,,75.7,0.0,0.3,EL_to_HTH_[LA]
TH,VN,LA,,75.7,0.0,0.0,EL_to_NH3_[LA]
TH,VN,LA,,75.7,0.0,0.0,NH3_Storage_[LA]
TH,VN,LA,,75.7,0.0,0.0,NH3_to_EL_[LA]
TH,VN,LA,,75.7,0.0,0.0,NH3_to_HTH_[LA]
TH,VN,LA,,75.7,0.0,0.3,FF_to_HTH_[LA]
TH,VN,LA,,75.7,0.0,1.6,EL_Demand_[LA]
TH,VN,LA,,75.7,0.0,0.3,HTH_Demand_[LA]
TH,VN,LA,,75.7,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
TH,VN,LA,,75.7,1.7,101.4,RE_PV_Openfield_Lim_[TH]
TH,VN,LA,,75.7,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
TH,VN,LA,,75.7,6.9,142.4,RE_WIND_Onshore_Lim_[TH]
TH,VN,LA,,75.7,3.6,51.4,PP_CO2_[TH]
TH,VN,LA,,75.7,0.3,15.5,BESS_[TH]
TH,VN,LA,,75.7,0.4,33.4,EL_to_HTH_[TH]
TH,VN,LA,,75.7,0.0,0.0,EL_to_NH3_[TH]
TH,VN,LA,,75.7,0.0,0.0,NH3_Storage_[TH]
TH,VN,LA,,75.7,0.0,0.0,NH3_to_EL_[TH]
TH,VN,LA,,75.7,0.0,0.0,NH3_to_HTH_[TH]
TH,VN,LA,,75.7,2.5,33.7,FF_to_HTH_[TH]
TH,VN,LA,,75.7,0.0,65.4,EL_Demand_[TH]
TH,VN,LA,,75.7,0.0,34.3,HTH_Demand_[TH]
TH,VN,LA,,75.7,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
TH,VN,LA,,75.7,1.6,141.6,RE_PV_Openfield_Lim_[VN]
TH,VN,LA,,75.7,6.7,127.7,RE_WIND_Offshore_Lim_[VN]
TH,VN,LA,,75.7,0.0,0.0,RE_WIND_Onshore_Lim_[VN]
TH,VN,LA,,75.7,1.4,25.2,PP_CO2_[VN]
TH,VN,LA,,75.7,0.5,28.5,BESS_[VN]
TH,VN,LA,,75.7,0.5,45.6,EL_to_HTH_[VN]
TH,VN,LA,,75.7,0.0,0.0,EL_to_NH3_[VN]
TH,VN,LA,,75.7,0.0,0.0,NH3_Storage_[VN]
TH,VN,LA,,75.7,0.0,0.0,NH3_to_EL_[VN]
TH,VN,LA,,75.7,0.0,0.0,NH3_to_HTH_[VN]
TH,VN,LA,,75.7,2.5,46.0,FF_to_HTH_[VN]
TH,VN,LA,,75.7,0.0,51.6,EL_Demand_[VN]
TH,VN,LA,,75.7,0.0,46.8,HTH_Demand_[VN]
TH,VN,LA,,75.7,0.0,0.1,EL_Transport_[LA-TH]
TH,VN,LA,,75.7,0.0,0.0,NH3_Transport_[LA-TH]
TH,VN,LA,,75.7,0.1,1.4,EL_Transport_[LA-VN]
TH,VN,LA,,75.7,0.0,0.0,NH3_Transport_[LA-VN]
TH,VN,LA,,75.7,0.5,15.3,EL_Transport_[TH-VN]
TH,VN,LA,,75.7,0.0,0.0,NH3_Transport_[TH-VN]
TH,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
TH,VN,LA,,0.0,0.1,6.3,RE_PV_Openfield_Lim_[LA]
TH,VN,LA,,0.0,0.0,0.3,RE_WIND_Onshore_Lim_[LA]
TH,VN,LA,,0.0,0.0,0.0,PP_CO2_[LA]
TH,VN,LA,,0.0,0.2,9.3,BESS_[LA]
TH,VN,LA,,0.0,0.0,0.3,EL_to_HTH_[LA]
TH,VN,LA,,0.0,0.0,0.0,EL_to_NH3_[LA]
TH,VN,LA,,0.0,0.1,4.9,NH3_Storage_[LA]
TH,VN,LA,,0.0,0.0,0.2,NH3_to_EL_[LA]
TH,VN,LA,,0.0,0.0,0.1,NH3_to_HTH_[LA]
TH,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[LA]
TH,VN,LA,,0.0,0.0,1.6,EL_Demand_[LA]
TH,VN,LA,,0.0,0.0,0.3,HTH_Demand_[LA]
TH,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
TH,VN,LA,,0.0,3.3,193.4,RE_PV_Openfield_Lim_[TH]
TH,VN,LA,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
TH,VN,LA,,0.0,9.7,201.7,RE_WIND_Onshore_Lim_[TH]
TH,VN,LA,,0.0,0.0,0.0,PP_CO2_[TH]
TH,VN,LA,,0.0,2.3,126.9,BESS_[TH]
TH,VN,LA,,0.0,0.4,33.4,EL_to_HTH_[TH]
TH,VN,LA,,0.0,0.2,4.3,EL_to_NH3_[TH]
TH,VN,LA,,0.0,5.2,310.8,NH3_Storage_[TH]
TH,VN,LA,,0.0,0.4,5.3,NH3_to_EL_[TH]
TH,VN,LA,,0.0,0.1,6.6,NH3_to_HTH_[TH]
TH,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[TH]
TH,VN,LA,,0.0,0.0,65.4,EL_Demand_[TH]
TH,VN,LA,,0.0,0.0,34.3,HTH_Demand_[TH]
TH,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
TH,VN,LA,,0.0,2.4,203.9,RE_PV_Openfield_Lim_[VN]
TH,VN,LA,,0.0,2.0,38.1,RE_WIND_Offshore_Lim_[VN]
TH,VN,LA,,0.0,9.1,189.3,RE_WIND_Onshore_Lim_[VN]
TH,VN,LA,,0.0,0.0,0.0,PP_CO2_[VN]
TH,VN,LA,,0.0,2.6,145.2,BESS_[VN]
TH,VN,LA,,0.0,0.5,45.6,EL_to_HTH_[VN]
TH,VN,LA,,0.0,1.5,26.7,EL_to_NH3_[VN]
TH,VN,LA,,0.0,4.0,240.1,NH3_Storage_[VN]
