country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
LA,TH,,,0.0,0.1,RE_PV_Openfield_Lim_[LA]
LA,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_0_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[LA]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[LA]
LA,TH,,,0.0,0.2,HYDRO_[LA]
LA,TH,,,0.0,0.0,PP_CO2_[LA]
LA,TH,,,0.0,0.0,BESS_[LA]
LA,TH,,,0.0,0.0,EL_to_HTH_[LA]
LA,TH,,,0.0,0.0,EL_to_NH3_[LA]
LA,TH,,,0.0,0.5,NH3_Storage_[LA]
LA,TH,,,0.0,0.1,NH3_to_EL_[LA]
LA,TH,,,0.0,0.0,NH3_to_HTH_[LA]
LA,TH,,,0.0,0.0,FF_to_HTH_[LA]
LA,TH,,,0.0,0.0,EL_Demand_[LA]
LA,TH,,,0.0,0.0,HTH_Demand_[LA]
LA,TH,,,0.0,3.2,RE_PV_Openfield_Lim_[TH]
LA,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_0_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
LA,TH,,,0.0,8.9,RE_WIND_Onshore_Lim_2_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
LA,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
LA,TH,,,0.0,0.1,HYDRO_[TH]
LA,TH,,,0.0,0.0,PP_CO2_[TH]
LA,TH,,,0.0,1.8,BESS_[TH]
LA,TH,,,0.0,0.4,EL_to_HTH_[TH]
LA,TH,,,0.0,0.6,EL_to_NH3_[TH]
LA,TH,,,0.0,3.6,NH3_Storage_[TH]
LA,TH,,,0.0,0.3,NH3_to_EL_[TH]
LA,TH,,,0.0,0.1,NH3_to_HTH_[TH]
LA,TH,,,0.0,0.0,FF_to_HTH_[TH]
LA,TH,,,0.0,0.0,EL_Demand_[TH]
LA,TH,,,0.0,0.0,HTH_Demand_[TH]
LA,TH,,,0.0,0.3,EL_Transport_[LA-TH]
LA,TH,,,0.0,0.0,NH3_Transport_[LA-TH]
LA,TH,,,42.7,0.0,RE_PV_Openfield_Lim_[LA]
LA,TH,,,42.7,0.0,RE_PV_Rooftop_Lim_[LA]
LA,TH,,,42.7,0.1,RE_WIND_Onshore_Lim_0_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_1_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_2_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_3_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_4_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_5_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_6_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_7_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_8_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Onshore_Lim_9_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Offshore_Lim_0_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Offshore_Lim_1_[LA]
LA,TH,,,42.7,0.0,RE_WIND_Offshore_Lim_2_[LA]
