Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,0,0,330
1,RE_PV_Openfield_Lim,0,0,3
2,RE_PV_Rooftop_Lim,0,0,3
3,RE_WIND_Onshore_Lim_0,0,0,3
4,RE_WIND_Onshore_Lim_1,0,0,3
5,RE_WIND_Onshore_Lim_2,0,0,3
6,RE_WIND_Onshore_Lim_3,0,0,3
7,RE_WIND_Onshore_Lim_4,0,0,3
8,RE_WIND_Onshore_Lim_5,0,0,3
9,RE_WIND_Onshore_Lim_6,0,0,3
10,RE_WIND_Onshore_Lim_7,0,0,3
11,RE_WIND_Onshore_Lim_8,0,0,3
12,RE_WIND_Onshore_Lim_9,0,0,3
13,RE_WIND_Offshore_Lim_0,0,0,3
14,RE_WIND_Offshore_Lim_1,0,0,3
15,RE_WIND_Offshore_Lim_2,0,0,3
16,RE_WIND_Offshore_Lim_3,0,0,3
17,RE_WIND_Offshore_Lim_4,0,0,3
18,RE_WIND_Offshore_Lim_5,0,0,3
19,RE_WIND_Offshore_Lim_6,0,0,3
20,RE_WIND_Offshore_Lim_7,0,0,3
21,RE_WIND_Offshore_Lim_8,0,0,3
22,RE_WIND_Offshore_Lim_9,0,0,3
23,HYDRO,0,0,3
24,PP_CO2,0,0,3
25,BESS,0,0,3
26,EL_to_HTH,0,0,3
27,EL_to_NH3,0,0,3
28,NH3_Storage,0,0,3
29,NH3_to_EL,0,0,3
30,NH3_to_HTH,0,0,3
31,FF_to_HTH,0,0,3
32,EL_Demand,0,0,3
33,HTH_Demand,0,0,3
