Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,0,0,330
1,RE_PV_Openfield_Lim,0,0,30
2,RE_PV_Rooftop_Lim,0,0,30
3,RE_WIND_Onshore_Lim_0,0,0,30
4,RE_WIND_Onshore_Lim_1,0,0,30
5,RE_WIND_Onshore_Lim_2,0,0,30
6,RE_WIND_Onshore_Lim_3,0,0,30
7,RE_WIND_Onshore_Lim_4,0,0,30
8,RE_WIND_Onshore_Lim_5,0,0,30
9,RE_WIND_Onshore_Lim_6,0,0,30
10,RE_WIND_Onshore_Lim_7,0,0,30
11,RE_WIND_Onshore_Lim_8,0,0,30
12,RE_WIND_Onshore_Lim_9,0,0,30
13,RE_WIND_Offshore_Lim_0,0,0,30
14,RE_WIND_Offshore_Lim_1,0,0,30
15,RE_WIND_Offshore_Lim_2,0,0,30
16,RE_WIND_Offshore_Lim_3,0,0,30
17,RE_WIND_Offshore_Lim_4,0,0,30
18,RE_WIND_Offshore_Lim_5,0,0,30
19,RE_WIND_Offshore_Lim_6,0,0,30
20,RE_WIND_Offshore_Lim_7,0,0,30
21,RE_WIND_Offshore_Lim_8,0,0,30
22,RE_WIND_Offshore_Lim_9,0,0,30
23,HYDRO,0,0,30
24,PP_CO2,0,0,30
25,BESS,0,0,30
26,EL_to_HTH,0,0,30
27,EL_to_NH3,0,0,30
28,NH3_Storage,0,0,30
29,NH3_to_EL,0,0,30
30,NH3_to_HTH,0,0,30
31,FF_to_HTH,0,0,30
32,EL_Demand,0,0,30
33,HTH_Demand,0,0,30
