country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,,,,2.2,1.4,RE_PV_Openfield_Lim_[BR]
BR,,,,2.2,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,2.2,12.3,RE_WIND_Onshore_Lim_[BR]
BR,,,,2.2,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,2.2,4.6,HYDRO_[BR]
BR,,,,2.2,0.0,PP_CO2_[BR]
BR,,,,2.2,0.0,BESS_[BR]
BR,,,,2.2,1.5,EL_to_HTH_[BR]
BR,,,,2.2,0.0,EL_to_NH3_[BR]
BR,,,,2.2,0.0,NH3_Storage_[BR]
BR,,,,2.2,0.0,NH3_to_EL_[BR]
BR,,,,2.2,0.0,NH3_to_HTH_[BR]
BR,,,,2.2,0.7,FF_to_HTH_[BR]
BR,,,,2.2,0.0,EL_Demand_[BR]
BR,,,,2.2,0.0,HTH_Demand_[BR]
KR,,,,212.0,3.1,RE_PV_Openfield_Lim_[KR]
KR,,,,212.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,,,,212.0,0.9,RE_WIND_Onshore_Lim_[KR]
KR,,,,212.0,0.0,RE_WIND_Offshore_Lim_[KR]
KR,,,,212.0,0.1,HYDRO_[KR]
KR,,,,212.0,16.4,PP_CO2_[KR]
KR,,,,212.0,0.1,BESS_[KR]
KR,,,,212.0,0.1,EL_to_HTH_[KR]
KR,,,,212.0,0.0,EL_to_NH3_[KR]
KR,,,,212.0,0.0,NH3_Storage_[KR]
KR,,,,212.0,0.0,NH3_to_EL_[KR]
KR,,,,212.0,0.0,NH3_to_HTH_[KR]
KR,,,,212.0,3.5,FF_to_HTH_[KR]
KR,,,,212.0,0.0,EL_Demand_[KR]
KR,,,,212.0,0.0,HTH_Demand_[KR]
