country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,,,,2.206186862697359,1.3755622438171442,RE_PV_Openfield_Lim_[BR]
BR,,,,2.206186862697359,1.7462767349742172e-11,RE_PV_Rooftop_Lim_[BR]
BR,,,,2.206186862697359,12.293052697351648,RE_WIND_Onshore_Lim_[BR]
BR,,,,2.206186862697359,4.035779890676673e-12,RE_WIND_Offshore_Lim_[BR]
BR,,,,2.206186862697359,4.634641139888563,HYDRO_[BR]
BR,,,,2.206186862697359,5.565272294782964e-09,PP_CO2_[BR]
BR,,,,2.206186862697359,1.8741348640730682e-08,BESS_[BR]
BR,,,,2.206186862697359,1.4829384547888589,EL_to_HTH_[BR]
BR,,,,2.206186862697359,0.0004663895289632088,EL_to_NH3_[BR]
BR,,,,2.206186862697359,0.009402086194117028,NH3_Storage_[BR]
BR,,,,2.206186862697359,1.6419541868627165e-10,NH3_to_EL_[BR]
BR,,,,2.206186862697359,0.003186671501866484,NH3_to_HTH_[BR]
BR,,,,2.206186862697359,0.6583685042842576,FF_to_HTH_[BR]
BR,,,,2.206186862697359,0.0,EL_Demand_[BR]
BR,,,,2.206186862697359,0.0,HTH_Demand_[BR]
KR,,,,212.04551636182393,3.1479314073580067,RE_PV_Openfield_Lim_[KR]
KR,,,,212.04551636182393,1.48268056182408e-10,RE_PV_Rooftop_Lim_[KR]
KR,,,,212.04551636182393,0.8799121198210271,RE_WIND_Onshore_Lim_[KR]
KR,,,,212.04551636182393,6.476376047500375e-11,RE_WIND_Offshore_Lim_[KR]
KR,,,,212.04551636182393,0.13327289836392672,HYDRO_[KR]
KR,,,,212.04551636182393,16.41890322172696,PP_CO2_[KR]
KR,,,,212.04551636182393,0.11166417127721026,BESS_[KR]
KR,,,,212.04551636182393,0.13541171848561645,EL_to_HTH_[KR]
KR,,,,212.04551636182393,2.3060262330442015e-08,EL_to_NH3_[KR]
KR,,,,212.04551636182393,3.266162830428315e-08,NH3_Storage_[KR]
KR,,,,212.04551636182393,3.935349016335378e-08,NH3_to_EL_[KR]
KR,,,,212.04551636182393,2.0585626434825316e-10,NH3_to_HTH_[KR]
KR,,,,212.04551636182393,3.457834855810078,FF_to_HTH_[KR]
KR,,,,212.04551636182393,0.0,EL_Demand_[KR]
KR,,,,212.04551636182393,0.0,HTH_Demand_[KR]
