country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,PH,TH,,1.868569807349646e-09,3.2539499149706432,RE_PV_Openfield_Lim_[MY]
MY,PH,TH,,1.868569807349646e-09,8.743184439170165e-10,RE_PV_Rooftop_Lim_[MY]
MY,PH,TH,,1.868569807349646e-09,2.4872350520253135,RE_WIND_Onshore_Lim_0_[MY]
MY,PH,TH,,1.868569807349646e-09,1.142054154074918e-09,RE_WIND_Onshore_Lim_1_[MY]
MY,PH,TH,,1.868569807349646e-09,9.400086815684619e-10,RE_WIND_Onshore_Lim_2_[MY]
MY,PH,TH,,1.868569807349646e-09,1.7182723640658223e-09,RE_WIND_Onshore_Lim_3_[MY]
MY,PH,TH,,1.868569807349646e-09,1.6936472756403809e-09,RE_WIND_Onshore_Lim_4_[MY]
MY,PH,TH,,1.868569807349646e-09,1.125953990885688e-09,RE_WIND_Onshore_Lim_5_[MY]
MY,PH,TH,,1.868569807349646e-09,7.807305881663421e-10,RE_WIND_Onshore_Lim_6_[MY]
MY,PH,TH,,1.868569807349646e-09,5.290706318804365e-10,RE_WIND_Onshore_Lim_7_[MY]
MY,PH,TH,,1.868569807349646e-09,3.752062739275815e-10,RE_WIND_Onshore_Lim_8_[MY]
MY,PH,TH,,1.868569807349646e-09,2.868918422333594e-10,RE_WIND_Onshore_Lim_9_[MY]
MY,PH,TH,,1.868569807349646e-09,3.3136956415980503e-10,RE_WIND_Offshore_Lim_0_[MY]
MY,PH,TH,,1.868569807349646e-09,2.081139215514419e-10,RE_WIND_Offshore_Lim_1_[MY]
MY,PH,TH,,1.868569807349646e-09,1.8443685510281815e-10,RE_WIND_Offshore_Lim_2_[MY]
MY,PH,TH,,1.868569807349646e-09,2.0076989645155762e-10,RE_WIND_Offshore_Lim_3_[MY]
MY,PH,TH,,1.868569807349646e-09,1.9143617378669027e-10,RE_WIND_Offshore_Lim_4_[MY]
MY,PH,TH,,1.868569807349646e-09,1.7552430522828557e-10,RE_WIND_Offshore_Lim_5_[MY]
MY,PH,TH,,1.868569807349646e-09,1.5815386374342201e-10,RE_WIND_Offshore_Lim_6_[MY]
MY,PH,TH,,1.868569807349646e-09,1.5169375030155813e-10,RE_WIND_Offshore_Lim_7_[MY]
MY,PH,TH,,1.868569807349646e-09,1.530270101141294e-10,RE_WIND_Offshore_Lim_8_[MY]
MY,PH,TH,,1.868569807349646e-09,1.5587572620440735e-10,RE_WIND_Offshore_Lim_9_[MY]
MY,PH,TH,,1.868569807349646e-09,0.16205090339433145,HYDRO_[MY]
MY,PH,TH,,1.868569807349646e-09,0.0,PP_CO2_[MY]
MY,PH,TH,,1.868569807349646e-09,5.018361263354454,BESS_[MY]
MY,PH,TH,,1.868569807349646e-09,0.13957735977942848,EL_to_HTH_[MY]
