country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,PH,,,1.121823217672122e-09,3.2539510170028123,RE_PV_Openfield_Lim_[MY]
MY,PH,,,1.121823217672122e-09,6.539915779862648e-10,RE_PV_Rooftop_Lim_[MY]
MY,PH,,,1.121823217672122e-09,2.487232162093912,RE_WIND_Onshore_Lim_0_[MY]
MY,PH,,,1.121823217672122e-09,8.538801293507056e-10,RE_WIND_Onshore_Lim_1_[MY]
MY,PH,,,1.121823217672122e-09,7.026732940144375e-10,RE_WIND_Onshore_Lim_2_[MY]
MY,PH,,,1.121823217672122e-09,1.284917518827983e-09,RE_WIND_Onshore_Lim_3_[MY]
MY,PH,,,1.121823217672122e-09,1.266443314146097e-09,RE_WIND_Onshore_Lim_4_[MY]
MY,PH,,,1.121823217672122e-09,8.416239263350496e-10,RE_WIND_Onshore_Lim_5_[MY]
MY,PH,,,1.121823217672122e-09,5.833102191047089e-10,RE_WIND_Onshore_Lim_6_[MY]
MY,PH,,,1.121823217672122e-09,3.950040440912019e-10,RE_WIND_Onshore_Lim_7_[MY]
MY,PH,,,1.121823217672122e-09,2.798741325298033e-10,RE_WIND_Onshore_Lim_8_[MY]
MY,PH,,,1.121823217672122e-09,2.137927022469136e-10,RE_WIND_Onshore_Lim_9_[MY]
MY,PH,,,1.121823217672122e-09,2.461568582776627e-10,RE_WIND_Offshore_Lim_0_[MY]
MY,PH,,,1.121823217672122e-09,1.5311707154626685e-10,RE_WIND_Offshore_Lim_1_[MY]
MY,PH,,,1.121823217672122e-09,1.3514749914277996e-10,RE_WIND_Offshore_Lim_2_[MY]
MY,PH,,,1.121823217672122e-09,1.4760407433487187e-10,RE_WIND_Offshore_Lim_3_[MY]
MY,PH,,,1.121823217672122e-09,1.406994594835298e-10,RE_WIND_Offshore_Lim_4_[MY]
MY,PH,,,1.121823217672122e-09,1.2877106170438694e-10,RE_WIND_Offshore_Lim_5_[MY]
MY,PH,,,1.121823217672122e-09,1.1553413383080376e-10,RE_WIND_Offshore_Lim_6_[MY]
MY,PH,,,1.121823217672122e-09,1.1065382897765798e-10,RE_WIND_Offshore_Lim_7_[MY]
MY,PH,,,1.121823217672122e-09,1.1158702523055154e-10,RE_WIND_Offshore_Lim_8_[MY]
MY,PH,,,1.121823217672122e-09,1.1350048431513355e-10,RE_WIND_Offshore_Lim_9_[MY]
MY,PH,,,1.121823217672122e-09,0.16205090346449433,HYDRO_[MY]
MY,PH,,,1.121823217672122e-09,0.0,PP_CO2_[MY]
MY,PH,,,1.121823217672122e-09,5.018363098016068,BESS_[MY]
MY,PH,,,1.121823217672122e-09,0.1395773550400303,EL_to_HTH_[MY]
MY,PH,,,1.121823217672122e-09,0.4751610482499677,EL_to_NH3_[MY]
MY,PH,,,1.121823217672122e-09,1.1587134283240323,NH3_Storage_[MY]
MY,PH,,,1.121823217672122e-09,3.427289728366192e-08,NH3_to_EL_[MY]
MY,PH,,,1.121823217672122e-09,0.026000241263514783,NH3_to_HTH_[MY]
MY,PH,,,1.121823217672122e-09,5.823600252521403e-11,FF_to_HTH_[MY]
MY,PH,,,1.121823217672122e-09,0.0,EL_Demand_[MY]
MY,PH,,,1.121823217672122e-09,0.0,HTH_Demand_[MY]
MY,PH,,,1.121823217672122e-09,2.621478938495536,RE_PV_Openfield_Lim_[PH]
MY,PH,,,1.121823217672122e-09,9.269377077323156e-10,RE_PV_Rooftop_Lim_[PH]
MY,PH,,,1.121823217672122e-09,2.1084708636105325,RE_WIND_Onshore_Lim_0_[PH]
MY,PH,,,1.121823217672122e-09,1.4554431634774333e-09,RE_WIND_Onshore_Lim_1_[PH]
MY,PH,,,1.121823217672122e-09,1.7023373509741891e-09,RE_WIND_Onshore_Lim_2_[PH]
MY,PH,,,1.121823217672122e-09,2.9557407855515922e-09,RE_WIND_Onshore_Lim_3_[PH]
MY,PH,,,1.121823217672122e-09,2.4388992815147853e-09,RE_WIND_Onshore_Lim_4_[PH]
MY,PH,,,1.121823217672122e-09,1.84095987395985e-09,RE_WIND_Onshore_Lim_5_[PH]
MY,PH,,,1.121823217672122e-09,1.0719057521837193e-09,RE_WIND_Onshore_Lim_6_[PH]
MY,PH,,,1.121823217672122e-09,7.156954712911289e-10,RE_WIND_Onshore_Lim_7_[PH]
MY,PH,,,1.121823217672122e-09,4.532945810957502e-10,RE_WIND_Onshore_Lim_8_[PH]
MY,PH,,,1.121823217672122e-09,3.0815342276375487e-10,RE_WIND_Onshore_Lim_9_[PH]
MY,PH,,,1.121823217672122e-09,1.7028201323147783e-10,RE_WIND_Offshore_Lim_0_[PH]
MY,PH,,,1.121823217672122e-09,1.600525909121001e-10,RE_WIND_Offshore_Lim_1_[PH]
MY,PH,,,1.121823217672122e-09,1.5176889604059047e-10,RE_WIND_Offshore_Lim_2_[PH]
MY,PH,,,1.121823217672122e-09,1.4682881844479758e-10,RE_WIND_Offshore_Lim_3_[PH]
MY,PH,,,1.121823217672122e-09,1.4418261412238335e-10,RE_WIND_Offshore_Lim_4_[PH]
MY,PH,,,1.121823217672122e-09,1.4222895056171298e-10,RE_WIND_Offshore_Lim_5_[PH]
MY,PH,,,1.121823217672122e-09,1.3915894592445296e-10,RE_WIND_Offshore_Lim_6_[PH]
MY,PH,,,1.121823217672122e-09,1.456102387020161e-10,RE_WIND_Offshore_Lim_7_[PH]
MY,PH,,,1.121823217672122e-09,1.5271164401422673e-10,RE_WIND_Offshore_Lim_8_[PH]
MY,PH,,,1.121823217672122e-09,0.0,RE_WIND_Offshore_Lim_9_[PH]
MY,PH,,,1.121823217672122e-09,0.04404929275031026,HYDRO_[PH]
MY,PH,,,1.121823217672122e-09,0.0,PP_CO2_[PH]
MY,PH,,,1.121823217672122e-09,4.469566630916978,BESS_[PH]
MY,PH,,,1.121823217672122e-09,0.12644364007600192,EL_to_HTH_[PH]
MY,PH,,,1.121823217672122e-09,0.1818762889048266,EL_to_NH3_[PH]
MY,PH,,,1.121823217672122e-09,1.9512104787649596,NH3_Storage_[PH]
MY,PH,,,1.121823217672122e-09,0.09368074952578359,NH3_to_EL_[PH]
MY,PH,,,1.121823217672122e-09,0.02451227716472393,NH3_to_HTH_[PH]
MY,PH,,,1.121823217672122e-09,5.821775845041525e-11,FF_to_HTH_[PH]
MY,PH,,,1.121823217672122e-09,0.0,EL_Demand_[PH]
MY,PH,,,1.121823217672122e-09,0.0,HTH_Demand_[PH]
MY,PH,,,93.33333313939119,1.1601790203708744,RE_PV_Openfield_Lim_[MY]
MY,PH,,,93.33333313939119,6.717241826798696e-11,RE_PV_Rooftop_Lim_[MY]
MY,PH,,,93.33333313939119,2.0860554072668114,RE_WIND_Onshore_Lim_0_[MY]
MY,PH,,,93.33333313939119,8.854035248732491e-11,RE_WIND_Onshore_Lim_1_[MY]
MY,PH,,,93.33333313939119,5.639790832298087e-11,RE_WIND_Onshore_Lim_2_[MY]
MY,PH,,,93.33333313939119,4.5879727653375314e-11,RE_WIND_Onshore_Lim_3_[MY]
MY,PH,,,93.33333313939119,3.570557776184422e-11,RE_WIND_Onshore_Lim_4_[MY]
MY,PH,,,93.33333313939119,2.896239375308327e-11,RE_WIND_Onshore_Lim_5_[MY]
MY,PH,,,93.33333313939119,2.199362825541081e-11,RE_WIND_Onshore_Lim_6_[MY]
MY,PH,,,93.33333313939119,1.5602209319931656e-11,RE_WIND_Onshore_Lim_7_[MY]
MY,PH,,,93.33333313939119,9.655452622611385e-12,RE_WIND_Onshore_Lim_8_[MY]
MY,PH,,,93.33333313939119,5.2080232574632235e-12,RE_WIND_Onshore_Lim_9_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_0_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_1_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_2_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_3_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_4_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_5_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_6_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_7_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_8_[MY]
MY,PH,,,93.33333313939119,0.0,RE_WIND_Offshore_Lim_9_[MY]
MY,PH,,,93.33333313939119,0.16205090366732597,HYDRO_[MY]
MY,PH,,,93.33333313939119,2.7554033591994624,PP_CO2_[MY]
