country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,TH,,,0.0,2.9,169.0,RE_PV_Openfield_Lim_[MY]
MY,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[MY]
MY,TH,,,0.0,0.2,6.0,HYDRO_[MY]
