country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,PH,,,0.0,2.8,163.0,RE_PV_Openfield_Lim_[PH]
SG,PH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
SG,PH,,,0.0,3.7,109.9,RE_WIND_Onshore_Lim_0_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
SG,PH,,,0.0,0.0,3.3,HYDRO_[PH]
SG,PH,,,0.0,0.0,0.0,PP_CO2_[PH]
SG,PH,,,0.0,3.9,217.0,BESS_[PH]
SG,PH,,,0.0,0.1,11.3,EL_to_HTH_[PH]
SG,PH,,,0.0,0.6,9.9,EL_to_NH3_[PH]
SG,PH,,,0.0,1.6,94.6,NH3_Storage_[PH]
SG,PH,,,0.0,0.3,3.4,NH3_to_EL_[PH]
SG,PH,,,0.0,0.0,2.2,NH3_to_HTH_[PH]
SG,PH,,,0.0,0.0,0.0,FF_to_HTH_[PH]
SG,PH,,,0.0,0.0,36.4,EL_Demand_[PH]
SG,PH,,,0.0,0.0,11.5,HTH_Demand_[PH]
SG,PH,,,0.0,0.0,0.4,RE_PV_Openfield_Lim_[SG]
SG,PH,,,0.0,0.1,2.8,RE_PV_Rooftop_Lim_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[SG]
SG,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[SG]
SG,PH,,,0.0,0.0,0.0,HYDRO_[SG]
SG,PH,,,0.0,0.0,0.0,PP_CO2_[SG]
SG,PH,,,0.0,0.0,0.4,BESS_[SG]
