country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
PH,TH,,,0.0,1.0,59.7,RE_PV_Openfield_Lim_[PH]
PH,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,0.0,4.0,116.3,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,0.0,0.1,3.3,HYDRO_[PH]
PH,TH,,,0.0,0.0,0.0,PP_CO2_[PH]
PH,TH,,,0.0,0.4,24.8,BESS_[PH]
PH,TH,,,0.0,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,0.0,0.8,14.6,EL_to_NH3_[PH]
PH,TH,,,0.0,2.3,139.1,NH3_Storage_[PH]
PH,TH,,,0.0,0.4,5.3,NH3_to_EL_[PH]
PH,TH,,,0.0,0.0,2.2,NH3_to_HTH_[PH]
PH,TH,,,0.0,0.0,0.0,FF_to_HTH_[PH]
PH,TH,,,0.0,0.0,36.4,EL_Demand_[PH]
PH,TH,,,0.0,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,0.0,3.0,178.8,RE_PV_Openfield_Lim_[TH]
PH,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,0.0,7.8,163.1,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,0.0,0.1,3.6,HYDRO_[TH]
PH,TH,,,0.0,0.0,0.0,PP_CO2_[TH]
PH,TH,,,0.0,1.5,84.4,BESS_[TH]
PH,TH,,,0.0,0.4,33.5,EL_to_HTH_[TH]
PH,TH,,,0.0,0.4,6.1,EL_to_NH3_[TH]
PH,TH,,,0.0,3.9,236.4,NH3_Storage_[TH]
PH,TH,,,0.0,0.6,7.4,NH3_to_EL_[TH]
PH,TH,,,0.0,0.1,6.6,NH3_to_HTH_[TH]
PH,TH,,,0.0,0.0,0.0,FF_to_HTH_[TH]
PH,TH,,,0.0,0.0,65.4,EL_Demand_[TH]
PH,TH,,,0.0,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,0.0,1.2,15.3,EL_Transport_[PH-TH]
PH,TH,,,0.0,0.0,140.5,NH3_Transport_[PH-TH]
PH,TH,,,71.0,0.0,0.0,RE_PV_Openfield_Lim_[PH]
PH,TH,,,71.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,71.0,2.5,74.1,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,71.0,0.1,3.3,HYDRO_[PH]
PH,TH,,,71.0,1.8,21.2,PP_CO2_[PH]
PH,TH,,,71.0,0.0,0.8,BESS_[PH]
PH,TH,,,71.0,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,71.0,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,71.0,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,71.0,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,71.0,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,71.0,0.6,11.2,FF_to_HTH_[PH]
PH,TH,,,71.0,0.0,36.4,EL_Demand_[PH]
PH,TH,,,71.0,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,71.0,1.9,109.3,RE_PV_Openfield_Lim_[TH]
PH,TH,,,71.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,71.0,4.5,117.5,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,71.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,71.0,0.1,3.6,HYDRO_[TH]
PH,TH,,,71.0,3.2,44.0,PP_CO2_[TH]
PH,TH,,,71.0,0.2,10.4,BESS_[TH]
PH,TH,,,71.0,0.4,33.1,EL_to_HTH_[TH]
PH,TH,,,71.0,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,71.0,0.0,0.0,NH3_Storage_[TH]
PH,TH,,,71.0,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,71.0,0.0,0.0,NH3_to_HTH_[TH]
PH,TH,,,71.0,2.4,33.5,FF_to_HTH_[TH]
PH,TH,,,71.0,0.0,65.4,EL_Demand_[TH]
PH,TH,,,71.0,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,71.0,0.4,5.4,EL_Transport_[PH-TH]
PH,TH,,,71.0,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,63.0,0.0,1.5,RE_PV_Openfield_Lim_[PH]
PH,TH,,,63.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,63.0,2.6,77.0,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,63.0,0.1,3.3,HYDRO_[PH]
PH,TH,,,63.0,1.6,21.2,PP_CO2_[PH]
PH,TH,,,63.0,0.0,0.6,BESS_[PH]
PH,TH,,,63.0,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,63.0,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,63.0,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,63.0,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,63.0,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,63.0,0.6,11.3,FF_to_HTH_[PH]
PH,TH,,,63.0,0.0,36.4,EL_Demand_[PH]
PH,TH,,,63.0,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,63.0,2.0,115.9,RE_PV_Openfield_Lim_[TH]
PH,TH,,,63.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,63.0,4.6,120.6,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,63.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,63.0,0.1,3.6,HYDRO_[TH]
PH,TH,,,63.0,3.1,43.4,PP_CO2_[TH]
PH,TH,,,63.0,0.2,12.0,BESS_[TH]
PH,TH,,,63.0,0.4,33.2,EL_to_HTH_[TH]
PH,TH,,,63.0,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,63.0,0.0,0.0,NH3_Storage_[TH]
PH,TH,,,63.0,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,63.0,0.0,0.0,NH3_to_HTH_[TH]
PH,TH,,,63.0,2.2,33.5,FF_to_HTH_[TH]
PH,TH,,,63.0,0.0,65.4,EL_Demand_[TH]
PH,TH,,,63.0,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,63.0,0.7,8.3,EL_Transport_[PH-TH]
PH,TH,,,63.0,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,55.0,0.1,6.6,RE_PV_Openfield_Lim_[PH]
PH,TH,,,55.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,55.0,2.7,80.4,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,55.0,0.1,3.3,HYDRO_[PH]
PH,TH,,,55.0,1.2,20.4,PP_CO2_[PH]
PH,TH,,,55.0,0.0,0.9,BESS_[PH]
PH,TH,,,55.0,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,55.0,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,55.0,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,55.0,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,55.0,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,55.0,0.6,11.3,FF_to_HTH_[PH]
PH,TH,,,55.0,0.0,36.4,EL_Demand_[PH]
PH,TH,,,55.0,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,55.0,2.0,118.2,RE_PV_Openfield_Lim_[TH]
PH,TH,,,55.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,55.0,4.8,124.0,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,55.0,0.1,3.6,HYDRO_[TH]
PH,TH,,,55.0,3.2,43.3,PP_CO2_[TH]
PH,TH,,,55.0,0.3,13.9,BESS_[TH]
PH,TH,,,55.0,0.4,33.4,EL_to_HTH_[TH]
PH,TH,,,55.0,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,55.0,0.0,0.1,NH3_Storage_[TH]
PH,TH,,,55.0,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,55.0,0.0,0.1,NH3_to_HTH_[TH]
PH,TH,,,55.0,2.1,33.5,FF_to_HTH_[TH]
PH,TH,,,55.0,0.0,65.4,EL_Demand_[TH]
PH,TH,,,55.0,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,55.0,0.9,10.3,EL_Transport_[PH-TH]
PH,TH,,,55.0,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,47.3,0.2,12.1,RE_PV_Openfield_Lim_[PH]
PH,TH,,,47.3,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,47.3,2.9,86.1,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,47.3,0.1,3.3,HYDRO_[PH]
PH,TH,,,47.3,1.1,19.6,PP_CO2_[PH]
PH,TH,,,47.3,0.1,4.1,BESS_[PH]
PH,TH,,,47.3,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,47.3,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,47.3,0.0,0.1,NH3_Storage_[PH]
PH,TH,,,47.3,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,47.3,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,47.3,0.5,11.3,FF_to_HTH_[PH]
PH,TH,,,47.3,0.0,36.4,EL_Demand_[PH]
PH,TH,,,47.3,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,47.3,2.0,118.7,RE_PV_Openfield_Lim_[TH]
PH,TH,,,47.3,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,47.3,4.9,127.5,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,47.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,47.3,0.1,3.6,HYDRO_[TH]
PH,TH,,,47.3,3.1,41.8,PP_CO2_[TH]
PH,TH,,,47.3,0.4,19.7,BESS_[TH]
PH,TH,,,47.3,0.4,33.5,EL_to_HTH_[TH]
PH,TH,,,47.3,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,47.3,0.0,0.1,NH3_Storage_[TH]
PH,TH,,,47.3,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,47.3,0.0,0.1,NH3_to_HTH_[TH]
PH,TH,,,47.3,1.9,33.5,FF_to_HTH_[TH]
PH,TH,,,47.3,0.0,65.4,EL_Demand_[TH]
PH,TH,,,47.3,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,47.3,1.1,13.5,EL_Transport_[PH-TH]
PH,TH,,,47.3,0.0,0.1,NH3_Transport_[PH-TH]
PH,TH,,,40.7,0.2,12.4,RE_PV_Openfield_Lim_[PH]
PH,TH,,,40.7,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,40.7,3.1,91.7,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,40.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,40.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,40.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
