country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SA,RU,,,1.876957893120394e-05,0.0,RE_PV_Openfield_Lim_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_PV_Rooftop_Lim_[RU]
SA,RU,,,1.876957893120394e-05,13.584534097309124,RE_WIND_Onshore_Lim_0_[RU]
SA,RU,,,1.876957893120394e-05,10.452652560677773,RE_WIND_Onshore_Lim_1_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_2_[RU]
SA,RU,,,1.876957893120394e-05,0.571548548802033,RE_WIND_Onshore_Lim_3_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_4_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_5_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_6_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_7_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_8_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_9_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_0_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_1_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_2_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_3_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_4_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_5_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_6_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_7_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_8_[RU]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_9_[RU]
SA,RU,,,1.876957893120394e-05,0.5208728363125208,HYDRO_[RU]
SA,RU,,,1.876957893120394e-05,2.2447347542251222e-06,PP_CO2_[RU]
SA,RU,,,1.876957893120394e-05,0.2192513369146479,BESS_[RU]
SA,RU,,,1.876957893120394e-05,0.012216489590991841,EL_to_HTH_[RU]
SA,RU,,,1.876957893120394e-05,0.06037682604449364,EL_to_NH3_[RU]
SA,RU,,,1.876957893120394e-05,0.864435476006736,NH3_Storage_[RU]
SA,RU,,,1.876957893120394e-05,0.27047309675249254,NH3_to_EL_[RU]
SA,RU,,,1.876957893120394e-05,0.001984455029025156,NH3_to_HTH_[RU]
SA,RU,,,1.876957893120394e-05,4.642300585530289e-06,FF_to_HTH_[RU]
SA,RU,,,1.876957893120394e-05,0.0,EL_Demand_[RU]
SA,RU,,,1.876957893120394e-05,0.0,HTH_Demand_[RU]
SA,RU,,,1.876957893120394e-05,1.2448877209330393,RE_PV_Openfield_Lim_[SA]
SA,RU,,,1.876957893120394e-05,0.5216656868077119,RE_PV_Rooftop_Lim_[SA]
SA,RU,,,1.876957893120394e-05,11.07273141692419,RE_WIND_Onshore_Lim_0_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_1_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_2_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_3_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_4_[SA]
SA,RU,,,1.876957893120394e-05,1.3867690305330733,RE_WIND_Onshore_Lim_5_[SA]
SA,RU,,,1.876957893120394e-05,0.6122676404836521,RE_WIND_Onshore_Lim_6_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_7_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_8_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Onshore_Lim_9_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_0_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_1_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_2_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_3_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_4_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_5_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_6_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_7_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_8_[SA]
SA,RU,,,1.876957893120394e-05,0.0,RE_WIND_Offshore_Lim_9_[SA]
SA,RU,,,1.876957893120394e-05,0.0,HYDRO_[SA]
SA,RU,,,1.876957893120394e-05,0.0,PP_CO2_[SA]
SA,RU,,,1.876957893120394e-05,1.3442699259233815,BESS_[SA]
SA,RU,,,1.876957893120394e-05,0.01894119173407611,EL_to_HTH_[SA]
SA,RU,,,1.876957893120394e-05,0.3747664916581442,EL_to_NH3_[SA]
SA,RU,,,1.876957893120394e-05,0.7230457094803342,NH3_Storage_[SA]
SA,RU,,,1.876957893120394e-05,0.414460141943431,NH3_to_EL_[SA]
SA,RU,,,1.876957893120394e-05,0.0034935427832282592,NH3_to_HTH_[SA]
SA,RU,,,1.876957893120394e-05,2.2619838044944113e-07,FF_to_HTH_[SA]
SA,RU,,,1.876957893120394e-05,0.0,EL_Demand_[SA]
SA,RU,,,1.876957893120394e-05,0.0,HTH_Demand_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_PV_Openfield_Lim_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_PV_Rooftop_Lim_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_0_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_1_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_2_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_3_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_4_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_5_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_6_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_7_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_8_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_9_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_0_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_1_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_2_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_3_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_4_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_5_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_6_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_7_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_8_[RU]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Offshore_Lim_9_[RU]
SA,RU,,,1285.7385404105796,0.7598280732556976,HYDRO_[RU]
SA,RU,,,1285.7385404105796,15.300158532513574,PP_CO2_[RU]
SA,RU,,,1285.7385404105796,0.010473338692981232,BESS_[RU]
SA,RU,,,1285.7385404105796,0.012326299679946933,EL_to_HTH_[RU]
SA,RU,,,1285.7385404105796,5.714635335689783e-07,EL_to_NH3_[RU]
SA,RU,,,1285.7385404105796,1.807538906287968e-06,NH3_Storage_[RU]
SA,RU,,,1285.7385404105796,4.075741114329145e-08,NH3_to_EL_[RU]
SA,RU,,,1285.7385404105796,4.953342239013735e-07,NH3_to_HTH_[RU]
SA,RU,,,1285.7385404105796,0.006697539926790324,FF_to_HTH_[RU]
SA,RU,,,1285.7385404105796,0.0,EL_Demand_[RU]
SA,RU,,,1285.7385404105796,0.0,HTH_Demand_[RU]
SA,RU,,,1285.7385404105796,0.16611166208691183,RE_PV_Openfield_Lim_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_PV_Rooftop_Lim_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_0_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_1_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_2_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_3_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_4_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_5_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_6_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_7_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_8_[SA]
SA,RU,,,1285.7385404105796,0.0,RE_WIND_Onshore_Lim_9_[SA]
