Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,conversion_factor,lifespan,lifespan_units,existing_capacity,existing_capacity_unit,exisitng_capacity_decay_rate,interest_rate,location_name
0,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,SG
1,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,ID
2,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,MY
3,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,BN
4,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,KH
5,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,MM
6,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,PH
7,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,TH
8,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,VN
9,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,LA
10,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,AU
11,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,SA
12,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,IN
13,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,AE
14,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,MA
15,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,KE
16,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,ZA
17,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,KR
18,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,EG
19,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,NG
20,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,BR
21,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,CO
22,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,PE
23,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,CL
24,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,FR
25,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,DE
26,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,US
27,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,RU
28,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,CN
29,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,TR
30,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h,0,Ggh,0,0.12,JP
