Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,cost_projections,G$/GWp,262800,h,PVOUT,24,0,10,GWp,0.02,0.1,GWp,0.005,SG
1,cost_projections,G$/GWp,262800,h,PVOUT,24,0,2586.60607,GWp,0.02,0.1,GWp,0.005,ID
2,0.51,G$/GWp,262800,h,PVOUT,24,0,1793.435667,GWp,0.02,0.1,GWp,0.005,MY
3,0.51,G$/GWp,262800,h,PVOUT,24,0,5.02455,GWp,0.02,0.1,GWp,0.005,BN
4,0.51,G$/GWp,262800,h,PVOUT,24,0,861.0985033,GWp,0.02,0.1,GWp,0.005,KH
5,0.545174837,G$/GWp,219000,h,PVOUT,24,0,3050,GWp,0.02,0.1,GWp,0.005,MM
6,0.51,G$/GWp,262800,h,PVOUT,24,0,226.2988,GWp,0.02,0.1,GWp,0.005,PH
7,0.51,G$/GWp,262800,h,PVOUT,24,0,790.7109033,GWp,0.02,0.1,GWp,0.005,TH
8,0.348892792,G$/GWp,262800,h,PVOUT,24,0,2915.533,GWp,0.02,0.1,GWp,0.005,VN
9,0.51,G$/GWp,262800,h,PVOUT,24,0,1341.273237,GWp,0.02,0.1,GWp,0.005,LA
10,0.567522278,G$/GWp,219000,h,PVOUT,24,0,192348,GWp,0.02,0.1,GWp,0.005,AU
11,0.341312081,G$/GWp,219000,h,PVOUT,24,0,54193,GWp,0.02,0.1,GWp,0.005,SA
12,0.331545499,G$/GWp,219000,h,PVOUT,24,0,8988,GWp,0.02,0.1,GWp,0.005,IN
13,0.616533612,G$/GWp,219000,h,PVOUT,24,0,10000,GWp,0.02,0.1,GWp,0.005,AE
14,0.545174837,G$/GWp,210240,h,PVOUT,24,0,6996,GWp,0.02,0.1,GWp,0.005,MA
15,0.545174837,G$/GWp,210240,h,PVOUT,24,0,10901,GWp,0.02,0.1,GWp,0.005,KE
16,0.701418804,G$/GWp,210240,h,PVOUT,24,0,26176,GWp,0.02,0.1,GWp,0.005,ZA
17,0.726445709,G$/GWp,262800,h,PVOUT,24,0,130,GWp,0.02,0.1,GWp,0.005,KR
18,0.545174837,G$/GWp,210240,h,PVOUT,24,0,27361,GWp,0.02,0.1,GWp,0.005,EG
19,0.545174837,G$/GWp,210240,h,PVOUT,24,0,6364,GWp,0.02,0.1,GWp,0.005,NG
20,0.42017606,G$/GWp,219000,h,PVOUT,24,0,57556,GWp,0.02,0.1,GWp,0.005,BR
21,0.545174837,G$/GWp,219000,h,PVOUT,24,0,6012,GWp,0.02,0.1,GWp,0.005,CO
22,0.545174837,G$/GWp,219000,h,PVOUT,24,0,2822,GWp,0.02,0.1,GWp,0.005,PE
23,0.550908264,G$/GWp,219000,h,PVOUT,24,0,4528,GWp,0.02,0.1,GWp,0.005,CL
24,0.666387113,G$/GWp,219000,h,PVOUT,24,0,2439,GWp,0.02,0.1,GWp,0.005,FR
25,0.600804817,G$/GWp,219000,h,PVOUT,24,0,1344,GWp,0.02,0.1,GWp,0.005,DE
26,0.651909348,G$/GWp,219000,h,PVOUT,24,0,82334,GWp,0.02,0.1,GWp,0.005,US
27,0.800803187,G$/GWp,219000,h,PVOUT,24,0,26864,GWp,0.02,0.1,GWp,0.005,RU
28,0.392363515,G$/GWp,219000,h,PVOUT,24,0,65710,GWp,0.02,0.1,GWp,0.005,CN
29,0.371426361,G$/GWp,219000,h,PVOUT,24,0,2673,GWp,0.02,0.1,GWp,0.005,TR
30,0.812073485,G$/GWp,219000,h,PVOUT,24,0,404,GWp,0.02,0.1,GWp,0.005,JP
