region,group,scenario,2022,2030,2040,2050
AUS,0,high,1005014500.0,1005014500.0,1005014500.0,1005014500.0
AUS,1,high,1448569500.0,1448569500.0,1448569500.0,1448569500.0
AUS,2,high,1536192000.0,1536192000.0,1536192000.0,1536192000.0
AUS,3,high,2149028000.0,2149028000.0,2149028000.0,2149028000.0
AUS,4,high,2194510500.0,2194510500.0,2194510500.0,2194510500.0
AUS,5,high,2655422000.0,2655422000.0,2655422000.0,2655422000.0
AUS,6,high,2698710000.0,2698710000.0,2698710000.0,2698710000.0
AUS,7,high,2602008500.0,2602008500.0,2602008500.0,2602008500.0
AUS,8,high,2699315500.0,2699315500.0,2699315500.0,2699315500.0
AUS,9,high,2862160000.0,2862160000.0,2862160000.0,2862160000.0
