region,group,scenario,2022,2030,2040,2050
CHL,0,high,6125.143274,3105.249569,2911.171471,2717.093373
CHL,1,high,7868.264963,3988.955897,3739.646154,3490.33641
CHL,2,high,9129.787846,4628.507205,4339.225505,4049.943804
CHL,3,high,9147.731234,4637.603923,4347.753677,4057.903432
CHL,4,high,9651.812256,4893.1567,4587.334406,4281.512112
CHL,5,high,8557.99303,4338.625723,4067.461616,3796.297508
CHL,6,high,9941.850082,5040.196499,4725.184217,4410.171936
CHL,7,high,11208.92762,5682.563838,5327.403598,4972.243358
CHL,8,high,8833.330047,4478.212688,4198.324394,3918.436101
CHL,9,high,10060.21375,5100.203049,4781.440358,4462.677668
