region,group,scenario,2022,2030,2040,2050
DEU,0,high,2689550.3738154555,2689550.3738154555,2689550.3738154555,2689550.3738154555
DEU,1,high,6963428.321288505,6963428.321288505,6963428.321288505,6963428.321288505
DEU,2,high,3742384.829254434,3742384.829254434,3742384.829254434,3742384.829254434
DEU,3,high,4938334.192669141,4938334.192669141,4938334.192669141,4938334.192669141
DEU,4,high,6919365.833034805,6919365.833034805,6919365.833034805,6919365.833034805
DEU,5,high,7915295.997108399,7915295.997108399,7915295.997108399,7915295.997108399
DEU,6,high,12383350.961552044,12383350.961552044,12383350.961552044,12383350.961552044
DEU,7,high,12215023.643914966,12215023.643914966,12215023.643914966,12215023.643914966
DEU,8,high,17883635.480202675,17883635.480202675,17883635.480202675,17883635.480202675
DEU,9,high,19617148.485939853,19617148.485939853,19617148.485939853,19617148.485939853
