region,group,scenario,2022,2030,2040,2050
EGY,0,high,2275.505676,1809.451623,1566.456123,1323.605841
EGY,1,high,2284.356859,1816.489965,1572.549269,1328.754357
EGY,2,high,2284.469539,1816.579567,1572.626838,1328.819901
EGY,3,high,2284.47439,1816.583424,1572.630178,1328.822723
EGY,4,high,2284.473044,1816.582354,1572.629251,1328.821939
EGY,5,high,2284.47439,1816.583424,1572.630178,1328.822723
EGY,6,high,2284.47439,1816.583424,1572.630178,1328.822723
EGY,7,high,2284.47439,1816.583424,1572.630178,1328.822723
EGY,8,high,2284.47439,1816.583424,1572.630178,1328.822723
EGY,9,high,2284.47439,1816.583424,1572.630178,1328.822723
