region,scenario,group,2021,2030,2040,2050
KHM,high,0,2559.978653,1697.902864,1491.783441,1285.960972
KHM,high,1,2902.766708,1925.256642,1691.537273,1458.154619
KHM,high,2,2931.094984,1944.045338,1708.045087,1472.384838
KHM,high,3,2937.454781,1948.263466,1711.751149,1475.579572
KHM,high,4,2941.429147,1950.89946,1714.067143,1477.576026
KHM,high,5,2976.883146,1974.414284,1734.72735,1495.385729
KHM,high,6,3318.567714,2201.036176,1933.838143,1667.025058
KHM,high,7,3650.070355,2420.904917,2127.015594,1833.549673
KHM,high,8,3832.87247,2542.148207,2233.540376,1925.377151
KHM,high,9,4226.374342,2803.137866,2462.84681,2123.046006
KHM,low,0,1395.528186,1052.501191,949.3391812,843.8353427
KHM,low,1,1582.393179,1193.433942,1076.458261,956.8271739
KHM,low,2,1597.83585,1205.080736,1086.963483,966.1649081
KHM,low,3,1601.302783,1207.695482,1089.321941,968.2612621
KHM,low,4,1603.46934,1209.32949,1090.79579,969.5713163
KHM,low,5,1622.796476,1223.905931,1103.943506,981.2578737
KHM,low,6,1809.059922,1364.384999,1230.65337,1093.885967
KHM,low,7,1989.772866,1500.677902,1353.587382,1203.157833
KHM,low,8,2089.424285,1575.834562,1421.377482,1263.41415
KHM,low,9,2303.935039,1737.617625,1567.303209,1393.12257
KHM,medium,0,1750.073902,1414.919054,1243.152868,1071.634143
KHM,medium,1,1984.413524,1604.380536,1409.614394,1215.128849
KHM,medium,2,2003.779535,1620.037783,1423.370907,1226.987365
KHM,medium,3,2008.127273,1623.552889,1426.459292,1229.649643
KHM,medium,4,2010.844262,1625.749551,1428.389286,1231.313355
KHM,medium,5,2035.08162,1645.345237,1445.606125,1246.154774
KHM,medium,6,2268.666867,1834.196814,1611.531787,1389.187549
KHM,medium,7,2495.29146,2017.420765,1772.512996,1527.958061
KHM,medium,8,2620.260162,2118.45684,1861.283648,1604.48096
KHM,medium,9,2889.269185,2335.948222,2052.372343,1769.205006
