region,group,scenario,2022,2030,2040,2050
TUR,0,high,7325.355891745264,3713.7185546991495,3481.6111449038153,3249.503735108477
TUR,1,high,8066.761524481042,4089.5872354211388,3833.988033067861,3578.388830714583
TUR,2,high,8520.03927353154,4319.384396399756,4049.422871477484,3779.461346555205
TUR,3,high,9077.135501054565,4601.814168752053,4314.200783048128,4026.587397344197
TUR,4,high,9317.38979379718,4723.615325991364,4428.389367955827,4133.163409920292
TUR,5,high,9509.527500442964,4821.022930041274,4519.7089967492975,4218.3950634573175
TUR,6,high,9798.183935579927,4967.362408278697,4656.9022575918925,4346.442106905083
TUR,7,high,10297.473027814454,5220.485832367862,4894.205467666851,4567.925102965835
TUR,8,high,10220.499623506637,5181.462805497802,4857.621379977502,4533.779954457198
TUR,9,high,10245.21091652223,5193.990631959588,4869.366217284998,4544.741802610406
