region,group,scenario,2022,2030,2040,2050
TUR,0,high,2596.2889044547724,1936.5662811715465,1669.2931593915346,1402.4621505328753
TUR,1,high,2596.288904454792,1936.5662811716206,1669.2931593914984,1402.4621505328355
TUR,2,high,2596.2889044546687,1936.5662811714633,1669.2931593915396,1402.4621505328462
TUR,3,high,2596.288904454766,1936.56628117147,1669.2931593916098,1402.462150532802
TUR,4,high,2596.2889044547032,1936.566281171641,1669.2931593915994,1402.4621505328705
TUR,5,high,2596.2889044545827,1936.5662811716606,1669.293159391387,1402.462150532907
TUR,6,high,2596.28890445472,1936.5662811716427,1669.293159391548,1402.4621505327652
TUR,7,high,2596.2889044546155,1936.5662811716338,1669.2931593915077,1402.4621505329121
TUR,8,high,2596.2889044545964,1936.5662811715888,1669.2931593914461,1402.4621505329314
TUR,9,high,2596.288904454687,1936.5662811715,1669.2931593916294,1402.4621505328585
