region,scenario,group,2021,2030,2040,2050
VNM,high,0,2020.103659,1339.831402,1177.180593,1014.764112
VNM,high,1,2427.385825,1609.960825,1414.517256,1219.355259
VNM,high,2,2696.190327,1788.245098,1571.158447,1354.384549
VNM,high,3,2864.923789,1900.15737,1669.484964,1439.144883
VNM,high,4,2894.369203,1919.687007,1686.643771,1453.936277
VNM,high,5,2935.241039,1946.795205,1710.46113,1474.467537
VNM,high,6,3063.773918,2032.044487,1785.361449,1539.033804
VNM,high,7,3604.079449,2390.401502,2100.215186,1810.446937
VNM,high,8,3906.886761,2591.2381,2276.670929,1962.556949
VNM,high,9,5018.040322,3328.209406,2924.176517,2520.725711
VNM,low,0,1101.22465,830.5387641,749.132635,665.8785462
VNM,low,1,1323.247494,997.9874121,900.1686279,800.1293085
VNM,low,2,1469.781629,1108.50281,999.8517426,888.7342423
VNM,low,3,1561.763765,1177.875329,1062.424642,944.3531666
VNM,low,4,1577.815424,1189.98142,1073.344141,954.0591384
VNM,low,5,1600.096,1206.785332,1088.501,967.5315556
VNM,low,6,1670.163481,1259.629916,1136.165967,1009.899325
VNM,low,7,1964.701717,1481.769352,1336.532173,1187.998038
VNM,low,8,2129.771898,1606.264553,1448.824846,1287.81118
VNM,low,9,2735.498087,2063.100568,1860.8836,1654.076205
VNM,medium,0,1381.000068,1116.526169,980.9838278,845.6367603
VNM,medium,1,1659.42969,1341.634021,1178.76438,1016.129383
VNM,medium,2,1843.19206,1490.204249,1309.298706,1128.653791
VNM,medium,3,1958.543033,1583.464476,1391.23747,1199.287403
VNM,medium,4,1978.672751,1599.739173,1405.536476,1211.613565
VNM,medium,5,2006.613896,1622.329338,1425.384275,1228.722948
VNM,medium,6,2094.482612,1693.370407,1487.801208,1282.52817
VNM,medium,7,2463.850774,1992.001252,1750.179322,1508.705781
VNM,medium,8,2670.858427,2159.365084,1897.225775,1635.464125
VNM,medium,9,3430.474468,2773.50784,2436.813765,2100.604759
