region,group,scenario,2022,2030,2040,2050
ZAF,0,high,2283.607136,2065.462281,1772.091642,1479.69492
ZAF,1,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,2,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,3,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,4,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,5,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,6,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,7,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,8,high,2284.47439,2066.246689,1772.764636,1480.256869
ZAF,9,high,2284.47439,2066.246689,1772.764636,1480.256869
